Category,Actual,Predicted,Absolute Error
<2min,107.0,95.859085,11.140915
<2min,52.0,55.8058,3.8058014
<2min,55.0,50.627205,4.372795
<2min,51.0,49.767662,1.232338
<2min,31.0,35.681747,4.6817474
<2min,27.0,34.22872,7.2287216
<2min,32.0,35.56562,3.5656204
<2min,31.0,34.953815,3.9538155
<2min,13.0,17.51275,4.5127506
<2min,14.0,17.864515,3.8645153
<2min,30.0,32.98534,2.98534
<2min,17.0,20.602404,3.6024036
<2min,51.0,51.340813,0.34081268
<2min,58.0,59.339874,1.3398743
<2min,117.0,113.48167,3.5183334
<2min,48.0,45.2604,2.7396011
<2min,103.0,102.440346,0.55965424
<2min,46.0,42.80388,3.1961212
<2min,18.0,20.913103,2.913103
<2min,27.0,32.444534,5.4445343
2-5min,235.0,225.7154,9.284607
2-5min,295.0,270.47397,24.526031
2-5min,132.0,137.92929,5.929291
2-5min,144.0,153.44028,9.440277
2-5min,239.0,234.36218,4.6378174
2-5min,194.0,197.59169,3.59169
2-5min,157.0,156.83633,0.16366577
2-5min,181.0,181.95703,0.95703125
2-5min,167.0,159.78125,7.21875
2-5min,139.0,139.9928,0.99279785
2-5min,152.0,150.89491,1.1050873
2-5min,211.0,214.90488,3.9048767
2-5min,135.0,135.39365,0.39364624
2-5min,213.0,201.04428,11.955719
2-5min,186.0,188.7446,2.7445984
2-5min,150.0,142.16205,7.8379517
2-5min,128.0,130.18237,2.182373
2-5min,145.0,139.20834,5.7916565
2-5min,185.0,170.68901,14.310989
2-5min,269.0,260.2015,8.798492
>=5min,497.0,461.62042,35.379578
>=5min,315.0,295.00336,19.996643
>=5min,336.0,318.7124,17.287598
>=5min,404.0,373.87982,30.120178
>=5min,499.0,477.99536,21.004639
>=5min,349.0,325.67627,23.32373
>=5min,301.0,272.59534,28.404663
>=5min,331.0,302.81595,28.184052
>=5min,1128.0,966.49207,161.50793
>=5min,381.0,358.78143,22.218567
>=5min,302.0,282.79175,19.208252
>=5min,366.0,350.97986,15.020142
>=5min,392.0,368.92444,23.075562
>=5min,328.0,328.00253,0.002532959
>=5min,376.0,350.42596,25.574036
>=5min,329.0,302.64362,26.356384
>=5min,481.0,438.26535,42.73465
>=5min,325.0,315.07523,9.924774
>=5min,470.0,421.00958,48.990417
>=5min,334.0,309.46912,24.530884
